feature_id	reason	total_reads	taxon
cohort_feature_000001	removed_offtarget_pattern	420	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000004	removed_domain_unclassified	66	Unassigned
cohort_feature_000007	removed_offtarget_pattern	107	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000009	removed_domain_unclassified	519	Unassigned
cohort_feature_000011	removed_domain_unclassified	27	Unassigned
cohort_feature_000013	removed_domain_unclassified	16	Unassigned
cohort_feature_000014	removed_domain_unclassified	654	Unassigned
cohort_feature_000017	removed_offtarget_pattern	21	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000020	removed_domain_unclassified	272	Unassigned
cohort_feature_000021	removed_domain_unclassified	27	Unassigned
cohort_feature_000022	removed_domain_unclassified	180	Unassigned
cohort_feature_000024	removed_offtarget_pattern	96	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000025	removed_offtarget_pattern	65	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000026	removed_domain_unclassified	175	Unassigned
cohort_feature_000027	removed_domain_unclassified	475	Unassigned
cohort_feature_000029	removed_domain_unclassified	333	Unassigned
cohort_feature_000032	removed_domain_unclassified	657	Unassigned
cohort_feature_000036	removed_domain_unclassified	71	Unassigned
cohort_feature_000040	removed_domain_unclassified	108	Unassigned
cohort_feature_000042	removed_domain_unclassified	340	Unassigned
cohort_feature_000043	removed_domain_unclassified	80	Unassigned
cohort_feature_000044	removed_domain_unclassified	74	Unassigned
cohort_feature_000045	removed_domain_unclassified	137	Unassigned
cohort_feature_000048	removed_domain_unclassified	115	Unassigned
cohort_feature_000050	removed_offtarget_pattern	84	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
cohort_feature_000051	removed_domain_unclassified	36	Unassigned
cohort_feature_000054	removed_domain_unclassified	25	Unassigned
cohort_feature_000056	removed_domain_unclassified	193	Unassigned
cohort_feature_000059	removed_domain_unclassified	31	Unassigned
cohort_feature_000061	removed_offtarget_pattern	87	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
cohort_feature_000066	removed_domain_unclassified	833	Unassigned
cohort_feature_000069	removed_domain_unclassified	188	Unassigned
cohort_feature_000072	removed_offtarget_pattern	31	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__
