contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Active	rab.win.Control	diff.btw	diff.win	effect	overlap	significant	status	detail	rab.win.Latent
Active_vs_Control	Shuttleworthia	0.0432381127144337	0.767841649189848	0	0	1.35569489441685	-2.81325741233926	3.30577810679969	6.06647649570774	3.02411352175235	2.05367852799237	0.00523319582318488	no	ok		NA
Active_vs_Control	Lactobacillus	0.175807104767012	0.957446968125101	0.24765625	1	-2.08132873790454	1.86791285068794	-4.31231374567939	-6.1487616896352	4.52967714607152	-1.32401724393464	0.0989608748927561	no	ok		NA
Active_vs_Control	Lachnoanaerobaculum	0.0863976948972354	0.976165265123219	0.1	1	2.34852601864042	4.11085632619025	-1.91678302027838	-6.05258622970376	3.62125416484309	-1.59005888917559	0.000365399848804012	no	ok		NA
Active_vs_Control	Peptostreptococcus	0.322979259285246	0.976942832106057	0.20859375	0.858199204441392	-1.22412300281233	-2.88183431887089	2.40791221057288	4.14743277340352	4.63044935095576	0.839147965796645	0.19270944958575	no	ok		NA
Active_vs_Control	Tannerella	0.324550356690935	0.97727233182448	0.409375	1	-2.5343057590202	-0.576063529783596	-4.02455529908376	-3.9796885606932	4.58887333953382	-0.718556247905788	0.196892263794227	no	ok		NA
Active_vs_Control	Alkalitalea	0.325606168239296	0.981586301791065	0.4265625	1	-2.76194603487687	-0.495349235359916	-3.9730971080394	-3.85014323965102	4.64402788432526	-0.76873463819393	0.203126036487036	no	ok		NA
Active_vs_Control	Streptobacillus	0.370216151143501	0.985251185488663	0.228125	0.84177250267094	-1.49715837596327	-2.66100852801399	1.87094371223994	3.92939140964567	4.88081065487472	0.782845601474855	0.218750930036074	no	ok		NA
Active_vs_Control	Aminipila	0.349143721723178	0.986740013235342	0.20703125	0.785473137973138	-1.32860208240768	-2.7148449351956	2.00530955601958	3.74980539216078	4.70053529150929	0.762042813231886	0.181348350687537	no	ok		NA
Active_vs_Control	Faecalibacterium	0.348438837779527	0.9869352606376	0.42421875	1	-2.65611727456111	-0.571259865480415	-4.13243985421407	-3.81698966823454	4.54923075061317	-0.759530628416494	0.207254882531613	no	ok		NA
Active_vs_Control	Hungateiclostridium	0.353068268668813	0.98835579453313	0.21953125	0.870003290979854	-1.40413406677605	-2.83796490910231	2.01059969494438	3.71541959460715	5.15503755128654	0.686966872525674	0.203126036487036	no	ok		NA
Active_vs_Control	Parvimonas	0.283768706147531	0.988546183483258	0.17890625	0.741242130265568	-1.31938268395985	-3.01796568333773	1.75185730015918	4.03382309998475	4.40863511206943	0.812255024499404	0.181348350687537	no	ok		NA
Active_vs_Control	Filifactor	0.297001099332467	0.988778094747308	0.1984375	0.813606508508852	-1.29981016509353	-2.74715129457459	1.42919881332298	4.24649163305627	4.44758668112896	0.867257679533293	0.203126036487036	no	ok		NA
