species	max_relative_abundance	max_estimated_reads	prevalence_at_threshold	emu_min_relative_abundance	emu_min_estimated_reads	species_reportable	assignment_method
Abiotrophia defectiva	0.0074161969741916	25.0	1	0.005	10.0	yes	EMU
Acinetobacter tandoii	0.0226566950901303	66.99584738151556	3	0.005	10.0	yes	EMU
Actinobacillus porcitonsillarum	0.0026425337857504	20.0489038324884	0	0.005	10.0	no	EMU
Aggregatibacter actinomycetemcomitans	0.052405423081644	453.3750943514031	7	0.005	10.0	yes	EMU
Aggregatibacter aphrophilus	0.0633185083672062	105.8052274816017	8	0.005	10.0	yes	EMU
Aggregatibacter segnis	0.0322985303663651	86.6683030701049	6	0.005	10.0	yes	EMU
Alkalitalea saponilacus	0.0044497181848882	15.000000001258307	0	0.005	10.0	no	EMU
Alloprevotella sp. E39	0.0101703943876108	45.880404613349626	6	0.005	10.0	yes	EMU
Alloprevotella tannerae	0.0040633888663145	23.00000000070316	0	0.005	10.0	no	EMU
Alysiella crassa	0.0029285284712413	30.93404624172216	0	0.005	10.0	no	EMU
Aminipila sp. JN-18	0.0060950832994717	48.0	1	0.005	10.0	yes	EMU
Amniculibacterium aquaticum	0.0032770093072861	34.615049312863896	0	0.005	10.0	no	EMU
Anaerocella delicata	0.0182853149946519	45.00016020183841	1	0.005	10.0	yes	EMU
Bacteroidales bacterium CF	0.0251930120131799	75.99999900791803	4	0.005	10.0	yes	EMU
Bacteroides heparinolyticus	0.0035974628419956	38.0	0	0.005	10.0	no	EMU
Bariatricus massiliensis	0.0055452182004528	20.965160397094763	1	0.005	10.0	yes	EMU
Campylobacter concisus	0.003826824761248	21.67896227247023	0	0.005	10.0	no	EMU
Campylobacter gracilis	0.0119150821175804	67.49894019609343	2	0.005	10.0	yes	EMU
Campylobacter rectus	0.0132077795807734	74.82207132508172	2	0.005	10.0	yes	EMU
Campylobacter showae	0.0088994363690304	30.000000000001595	2	0.005	10.0	yes	EMU
Capnocytophaga gingivalis	0.0249184218332838	84.0	2	0.005	10.0	yes	EMU
