sample_id	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Anaerolineaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Coriobacteriaceae	Coriobacteriales Incertae Sedis	Defluviitaleaceae	Desulfobulbaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Family XI	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Hafniaceae	Incertae Sedis	Lachnospiraceae	Lactobacillales (o)	Lentimicrobiaceae	Leptotrichiaceae	Micrococcaceae	Monoglobaceae	Mycoplasmataceae	Neisseriaceae	Oscillospiraceae	Paludibacteraceae	Pasteurellaceae	Peptostreptococcaceae	Peptostreptococcales-Tissierellales (o)	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Selenomonadaceae	Spirochaetaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	Veillonellaceae	Weeksellaceae	[Eubacterium] coprostanoligenes group
SRR23380923	0.0	0.0	149.0	0.0	0.0	49.0	929.0	298.0	0.0	0.0	0.0	0.0	540.0	943.0	0.0	0.0	0.0	373.0	116.0	0.0	0.0	0.0	0.0	245.0	1100.0	453.0	3146.0	1235.0	0.0	308.0	512.0	0.0	100.0	552.0	1733.0	0.0	233.0	764.0	0.0	331.0	979.0	1395.0	170.0	4243.0	3780.0	54.0	0.0	253.0	74.0	2175.0	5380.0	0.0	483.0	0.0	889.0	2587.0	0.0	0.0
SRR23380925	0.0	0.0	61.0	49.0	0.0	0.0	398.0	98.0	0.0	0.0	0.0	128.0	846.0	276.0	0.0	0.0	0.0	79.0	51.0	0.0	0.0	0.0	0.0	291.0	653.0	899.0	5189.0	1268.0	0.0	695.0	784.0	52.0	0.0	357.0	601.0	0.0	65.0	559.0	0.0	288.0	390.0	1691.0	114.0	1655.0	807.0	40.0	0.0	780.0	127.0	1181.0	4793.0	0.0	508.0	0.0	837.0	1809.0	19.0	0.0
SRR23380926	10.0	0.0	0.0	287.0	0.0	0.0	136.0	91.0	0.0	0.0	0.0	50.0	78.0	1395.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	386.0	329.0	387.0	1111.0	1630.0	0.0	310.0	659.0	482.0	0.0	206.0	1246.0	0.0	0.0	6404.0	0.0	48.0	1105.0	48.0	4.0	3915.0	2887.0	0.0	0.0	198.0	0.0	11.0	6822.0	0.0	0.0	0.0	56.0	1633.0	373.0	0.0
SRR23380927	105.0	0.0	0.0	0.0	0.0	59.0	804.0	0.0	0.0	0.0	0.0	139.0	1276.0	179.0	0.0	0.0	0.0	443.0	82.0	0.0	0.0	7.0	0.0	85.0	325.0	347.0	5210.0	826.0	0.0	360.0	351.0	39.0	494.0	259.0	1146.0	0.0	28.0	1620.0	0.0	282.0	444.0	3260.0	298.0	5900.0	1100.0	374.0	0.0	209.0	356.0	2110.0	3699.0	0.0	767.0	324.0	1149.0	810.0	0.0	0.0
SRR23380956	0.0	5513.0	0.0	0.0	0.0	0.0	13.0	8.0	3859.0	0.0	6622.0	0.0	0.0	5.0	7644.0	946.0	0.0	0.0	0.0	17.0	234.0	55.0	1655.0	2441.0	2.0	0.0	0.0	8.0	0.0	11605.0	16897.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	9260.0	0.0	0.0	305.0	0.0	0.0	7286.0	88.0	12318.0	29.0	1367.0	0.0	88.0	6789.0	0.0	0.0	635.0	0.0	0.0	1729.0
SRR23380958	0.0	2054.0	79.0	0.0	0.0	0.0	4.0	40.0	88.0	0.0	1851.0	0.0	0.0	195.0	0.0	5467.0	0.0	0.0	0.0	21.0	2857.0	0.0	19804.0	76.0	0.0	0.0	0.0	109.0	0.0	1821.0	66646.0	0.0	0.0	0.0	5.0	2618.0	0.0	0.0	969.0	0.0	0.0	3270.0	0.0	0.0	0.0	0.0	64987.0	36.0	0.0	0.0	4891.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0
SRR23380959	0.0	35.0	39.0	0.0	6.0	0.0	198.0	5.0	6888.0	1163.0	24829.0	0.0	0.0	7.0	11945.0	1540.0	1210.0	0.0	0.0	2381.0	0.0	4459.0	3036.0	58.0	4.0	0.0	0.0	12.0	0.0	4019.0	23471.0	0.0	0.0	0.0	8.0	251.0	0.0	0.0	3875.0	0.0	0.0	278.0	0.0	0.0	4.0	452.0	39530.0	113.0	0.0	0.0	619.0	0.0	0.0	0.0	290.0	26288.0	0.0	17263.0
SRR23380960	0.0	72.0	0.0	31.0	57939.0	0.0	1130.0	0.0	262.0	0.0	5935.0	0.0	0.0	122.0	0.0	2469.0	0.0	0.0	0.0	820.0	665.0	7306.0	39684.0	39.0	0.0	0.0	0.0	428.0	0.0	35.0	56080.0	5.0	0.0	0.0	8.0	612.0	0.0	0.0	11.0	0.0	0.0	251.0	0.0	0.0	0.0	14.0	8906.0	145.0	0.0	0.0	11255.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
SRR23380961	0.0	890.0	0.0	0.0	0.0	0.0	310.0	0.0	5264.0	227.0	298.0	0.0	0.0	25.0	160.0	297.0	0.0	0.0	0.0	150.0	0.0	3801.0	45.0	0.0	0.0	0.0	0.0	19.0	270.0	301.0	9717.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	1247.0	0.0	0.0	89.0	0.0	0.0	0.0	818.0	7283.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0	1287.0	0.0	0.0	52.0
SRR23381000	2016.0	0.0	0.0	35.0	0.0	40.0	527.0	0.0	0.0	0.0	0.0	24.0	1167.0	362.0	0.0	0.0	0.0	410.0	137.0	0.0	0.0	0.0	0.0	70.0	1196.0	11.0	5737.0	658.0	0.0	548.0	651.0	110.0	62.0	2228.0	403.0	0.0	288.0	350.0	0.0	360.0	507.0	2721.0	324.0	8291.0	3330.0	118.0	0.0	170.0	115.0	2497.0	6636.0	0.0	593.0	0.0	807.0	1453.0	0.0	0.0
