sample_id	Abiotrophia	Acholeplasma	Acutalibacter	Agathobacter	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Anaeroglobus	Bacteroides	Barnesiella	Bergeyella	Bifidobacterium	Bilophila	Blautia	CAG-352	CAG-56	Campylobacter	Capnocytophaga	Catenibacterium	Catonella	Centipeda	Christensenellaceae R-7 group	Collinsella	Coprococcus	Defluviitaleaceae UCG-011	Desulfobulbus	Dialister	Dorea	Enterocloster	Erysipelotrichaceae UCG-003	Escherichia-Shigella	F0058	Faecalibacterium	Faecalimonas	Family XIII AD3011 group	Family XIII UCG-001	Filifactor	Flexilinea	Fretibacterium	Fusicatenibacter	Fusobacterium	Gemella	Gemmiger	Granulicatella	Haemophilus	Hafnia-Obesumbacterium	Holdemanella	Hornefia	Howardella	Hoylesella	Incertae Sedis	Kingella	Klebsiella	Lachnoanaerobaculum	Lachnospiraceae (f)	Lachnospiraceae NK4A136 group	Lachnospiraceae UCG-010	Lactobacillales (o)	Lancefieldella	Lautropia	Lentimicrobium	Leptotrichia	Mediterraneibacter	Megasphaera	Mitsuokella	Monoglobus	Mycoplasma	NK4A214 group	Negativibacillus	Neisseria	Oribacterium	Parabacteroides	Parvimonas	Pelospora	Peptostreptococcales-Tissierellales (o)	Peptostreptococcus	Phascolarctobacterium	Phocaeicola	Porphyromonas	Prevotella	Prevotellaceae (f)	Pseudoleptotrichia	Rikenellaceae RC9 gut group	Romboutsia	Roseburia	Rothia	Ruminococcaceae (f)	Ruminococcus	Ruthenibacterium	Schaalia	Segatella	Selenomonadaceae (f)	Selenomonas	Senegalimassilia	Slackia	Solobacterium	Stomatobaculum	Streptococcus	Succinivibrio	TM7x	Tannerella	Thomasclavelia	Treponema	Tyzzerella	UCG-002	UCG-005	Veillonella	Xylanibacter	[Eubacterium] brachy group	[Eubacterium] eligens group	[Eubacterium] ruminantium group	[Eubacterium] saphenum group	[Eubacterium] sulci group	[Eubacterium] ventriosum group	[Eubacterium] xylanophilum group	[Eubacterium] yurii group	[Ruminococcus] gnavus group
SRR23380923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.0	453.0	0.0	125.0	0.0	0.0	0.0	0.0	373.0	116.0	367.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	1268.0	49.0	483.0	0.0	3146.0	1235.0	0.0	943.0	979.0	0.0	0.0	204.0	0.0	96.0	454.0	204.0	0.0	88.0	0.0	0.0	0.0	0.0	298.0	0.0	100.0	332.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	560.0	217.0	0.0	1100.0	0.0	170.0	127.0	0.0	42.0	4243.0	3205.0	0.0	220.0	54.0	0.0	0.0	1733.0	0.0	0.0	0.0	149.0	297.0	74.0	0.0	0.0	0.0	245.0	82.0	5380.0	0.0	116.0	889.0	0.0	2175.0	0.0	0.0	0.0	2013.0	89.0	263.0	0.0	0.0	432.0	30.0	0.0	0.0	0.0	0.0
SRR23380925	49.0	0.0	0.0	0.0	182.0	0.0	0.0	39.0	65.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	846.0	899.0	0.0	312.0	51.0	0.0	0.0	0.0	79.0	51.0	409.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	1150.0	0.0	508.0	0.0	5189.0	1268.0	0.0	276.0	208.0	0.0	0.0	106.0	0.0	0.0	1006.0	41.0	0.0	112.0	41.0	0.0	0.0	52.0	98.0	128.0	0.0	196.0	0.0	60.0	0.0	0.0	65.0	0.0	0.0	518.0	279.0	0.0	653.0	0.0	114.0	468.0	0.0	52.0	1655.0	602.0	0.0	161.0	40.0	0.0	0.0	601.0	0.0	0.0	0.0	61.0	65.0	0.0	76.0	0.0	0.0	291.0	40.0	4793.0	0.0	518.0	837.0	0.0	1181.0	0.0	0.0	0.0	1275.0	0.0	183.0	0.0	0.0	0.0	109.0	0.0	0.0	73.0	0.0
SRR23380926	287.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	78.0	387.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	4.0	21.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1111.0	1630.0	0.0	1395.0	1105.0	0.0	0.0	0.0	0.0	255.0	1310.0	0.0	0.0	227.0	0.0	0.0	0.0	482.0	91.0	50.0	0.0	68.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	6404.0	212.0	0.0	329.0	0.0	4.0	30.0	0.0	5.0	3915.0	1497.0	0.0	138.0	0.0	0.0	0.0	1246.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	386.0	175.0	6822.0	0.0	153.0	56.0	0.0	11.0	0.0	0.0	0.0	1550.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	18.0	0.0
SRR23380927	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1276.0	347.0	0.0	179.0	51.0	0.0	0.0	0.0	443.0	82.0	544.0	0.0	0.0	0.0	0.0	282.0	0.0	0.0	0.0	0.0	2417.0	59.0	767.0	0.0	5210.0	826.0	0.0	179.0	444.0	0.0	0.0	165.0	0.0	6.0	569.0	50.0	7.0	29.0	91.0	0.0	0.0	39.0	0.0	139.0	494.0	259.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	1570.0	52.0	0.0	325.0	324.0	298.0	733.0	0.0	0.0	5900.0	248.0	492.0	0.0	374.0	0.0	0.0	1146.0	0.0	0.0	0.0	0.0	323.0	142.0	163.0	0.0	0.0	85.0	0.0	3699.0	0.0	0.0	1149.0	0.0	2110.0	0.0	0.0	0.0	266.0	31.0	14.0	0.0	0.0	337.0	288.0	0.0	0.0	110.0	0.0
SRR23380956	0.0	0.0	0.0	1237.0	0.0	0.0	88.0	0.0	0.0	3859.0	0.0	0.0	6622.0	17.0	598.0	631.0	157.0	0.0	0.0	1640.0	0.0	0.0	7644.0	946.0	1713.0	0.0	0.0	0.0	1942.0	35.0	15.0	55.0	0.0	4451.0	26.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	8.0	536.0	5.0	0.0	0.0	2419.0	0.0	419.0	0.0	21603.0	0.0	0.0	0.0	2351.0	449.0	161.0	0.0	8.0	0.0	0.0	0.0	1678.0	0.0	1367.0	91.0	0.0	1412.0	0.0	0.0	5.0	635.0	2.0	0.0	0.0	0.0	5513.0	0.0	0.0	0.0	0.0	0.0	0.0	305.0	1335.0	0.0	474.0	0.0	92.0	0.0	5308.0	0.0	0.0	0.0	234.0	22.0	0.0	88.0	6789.0	24.0	0.0	0.0	0.0	0.0	6675.0	1021.0	0.0	0.0	0.0	78.0	4466.0	0.0	13.0	47.0	47.0	0.0	0.0
SRR23380958	0.0	0.0	0.0	12050.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	1851.0	21.0	8137.0	0.0	8337.0	0.0	0.0	0.0	0.0	0.0	0.0	5467.0	9248.0	0.0	0.0	3.0	5106.0	1697.0	18422.0	0.0	0.0	46793.0	29.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	109.0	4641.0	195.0	0.0	0.0	0.0	0.0	1075.0	0.0	2115.0	0.0	0.0	0.0	149.0	1627.0	558.0	0.0	40.0	0.0	0.0	0.0	5758.0	0.0	0.0	2618.0	0.0	0.0	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2054.0	0.0	0.0	0.0	0.0	0.0	0.0	3270.0	4849.0	5.0	8333.0	4851.0	13.0	79.0	0.0	0.0	0.0	2857.0	0.0	76.0	0.0	4891.0	0.0	26.0	0.0	1382.0	0.0	4119.0	685.0	0.0	132.0	0.0	0.0	17.0	0.0	0.0	4.0	2477.0	1065.0	0.0	0.0
SRR23380959	0.0	0.0	1023.0	4529.0	0.0	6.0	452.0	0.0	0.0	6888.0	1163.0	0.0	24829.0	2381.0	4376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11945.0	1540.0	4023.0	0.0	0.0	26236.0	2948.0	68.0	3036.0	4459.0	0.0	11135.0	62.0	173.0	0.0	0.0	0.0	0.0	269.0	0.0	12.0	21640.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	23004.0	0.0	0.0	0.0	1095.0	1465.0	267.0	0.0	5.0	0.0	0.0	0.0	725.0	0.0	0.0	251.0	0.0	283.0	0.0	0.0	0.0	290.0	4.0	0.0	0.0	0.0	35.0	0.0	0.0	4.0	0.0	0.0	0.0	278.0	495.0	8.0	4935.0	22.0	528.0	39.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	619.0	0.0	66.0	0.0	0.0	0.0	0.0	2995.0	379.0	52.0	0.0	0.0	1046.0	705.0	0.0	25.0	1398.0	0.0	0.0	0.0
SRR23380960	31.0	0.0	0.0	7972.0	0.0	57939.0	14.0	0.0	0.0	262.0	0.0	0.0	5935.0	820.0	1418.0	0.0	641.0	0.0	0.0	39466.0	0.0	0.0	0.0	2469.0	912.0	0.0	0.0	0.0	18304.0	1331.0	218.0	7306.0	0.0	253.0	1190.0	240.0	882.0	0.0	0.0	0.0	421.0	0.0	428.0	2978.0	122.0	0.0	0.0	0.0	0.0	391.0	0.0	77.0	0.0	0.0	0.0	4823.0	0.0	767.0	5.0	0.0	0.0	0.0	0.0	4848.0	0.0	0.0	612.0	0.0	0.0	1168.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	268.0	8.0	4062.0	0.0	445.0	0.0	0.0	0.0	0.0	0.0	665.0	39.0	0.0	11255.0	0.0	103.0	0.0	0.0	0.0	390.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	12404.0
SRR23380961	0.0	0.0	115.0	2681.0	0.0	0.0	818.0	0.0	0.0	5264.0	227.0	0.0	298.0	150.0	28.0	0.0	2227.0	0.0	0.0	0.0	0.0	0.0	160.0	297.0	672.0	0.0	0.0	0.0	417.0	28.0	45.0	0.0	0.0	5526.0	0.0	47.0	263.0	0.0	0.0	0.0	43.0	0.0	19.0	484.0	25.0	0.0	270.0	0.0	0.0	0.0	0.0	353.0	0.0	3801.0	0.0	935.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	1085.0	0.0	0.0	157.0	0.0	202.0	410.0	0.0	0.0	1287.0	0.0	0.0	0.0	0.0	890.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	46.0	0.0	486.0	12.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0	0.0	0.0	0.0	1045.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	561.0	0.0	0.0	875.0
SRR23381000	35.0	2016.0	0.0	0.0	0.0	0.0	0.0	100.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1167.0	11.0	0.0	563.0	32.0	0.0	0.0	0.0	410.0	137.0	290.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	2459.0	40.0	593.0	0.0	5737.0	658.0	0.0	362.0	507.0	0.0	0.0	162.0	0.0	292.0	3195.0	13.0	0.0	0.0	61.0	0.0	0.0	110.0	0.0	24.0	62.0	189.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	337.0	27.0	0.0	615.0	0.0	324.0	230.0	0.0	143.0	8291.0	509.0	325.0	0.0	118.0	0.0	0.0	403.0	0.0	0.0	0.0	0.0	43.0	83.0	0.0	0.0	0.0	70.0	0.0	6636.0	0.0	0.0	807.0	0.0	2497.0	0.0	0.0	0.0	1115.0	2061.0	64.0	0.0	0.0	284.0	17.0	0.0	0.0	32.0	0.0
