sample_id	Actinomycetota	Bacillota	Bacteroidota	Campylobacterota	Chloroflexota	Fusobacteriota	Patescibacteria	Pseudomonadota	Spirochaetota	Synergistota	Thermodesulfobacteriota	Verrucomicrobiota
SRR23380923	2180.0	15236.0	9892.0	540.0	49.0	3698.0	459.0	1743.0	2175.0	483.0	116.0	0.0
SRR23380925	760.0	12631.0	4597.0	846.0	0.0	5546.0	1241.0	1077.0	1181.0	508.0	51.0	0.0
SRR23380926	1337.0	13983.0	7671.0	78.0	0.0	1317.0	341.0	7559.0	11.0	0.0	4.0	0.0
SRR23380927	1146.0	12032.0	9646.0	1276.0	59.0	5469.0	469.0	2210.0	2110.0	767.0	82.0	0.0
SRR23380956	7810.0	70930.0	11868.0	0.0	0.0	0.0	40.0	6844.0	0.0	0.0	17.0	0.0
SRR23380958	10299.0	167448.0	88.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	21.0	0.0
SRR23380959	27631.0	130869.0	8797.0	0.0	0.0	0.0	133.0	4459.0	0.0	0.0	2381.0	6.0
SRR23380960	9077.0	118626.0	281.0	0.0	0.0	0.0	180.0	7306.0	0.0	0.0	820.0	57939.0
SRR23380961	595.0	20762.0	7596.0	0.0	0.0	0.0	0.0	4071.0	0.0	0.0	150.0	0.0
SRR23381000	403.0	17611.0	13122.0	1167.0	40.0	7965.0	536.0	881.0	2497.0	593.0	137.0	0.0
