sample_id	Abiotrophia sp.	Acholeplasma genomosp.	Acutalibacter sp.	Agathobacter sp.	Aggregatibacter sp.	Akkermansia sp.	Alistipes alistipes	Alistipes sp.	Alloprevotella sp.	Anaeroglobus geminatus	Bacteroides coprocola	Bacteroides dorei	Bacteroides sp.	Bacteroides stercoris	Bacteroides vulgatus	Barnesiella sp.	Bergeyella sp.	Bifidobacterium longum	Bifidobacterium sp.	Bilophila sp.	Blautia sp.	CAG-352 sp.	CAG-56 sp.	Campylobacter concisus	Campylobacter sp.	Capnocytophaga capnocytophaga	Capnocytophaga gingivalis	Capnocytophaga granulosa	Capnocytophaga sp.	Capnocytophaga sputigena	Catenibacterium sp.	Catonella sp.	Centipeda sp.	Christensenellaceae R-7 group prokaryote	Christensenellaceae R-7 group sp.	Christensenellaceae R-7 group spirochete	Collinsella sp.	Coprococcus sp.	Defluviitaleaceae UCG-011 sp.	Desulfobulbus sp.	Dialister sp.	Dorea dorea	Dorea sp.	Enterocloster sp.	Erysipelotrichaceae UCG-003 sp.	Escherichia-Shigella sp.	F0058 sp.	Faecalibacterium sp.	Faecalimonas sp.	Family XIII AD3011 group sp.	Family XIII UCG-001 sp.	Filifactor alocis	Flexilinea sp.	Fretibacterium sp.	Fusicatenibacter sp.	Fusobacterium nucleatum	Fusobacterium periodonticum	Fusobacterium sp.	Gemella sp.	Gemmiger sp.	Granulicatella sp.	Haemophilus influenzae	Haemophilus sp.	Hafnia-Obesumbacterium alvei	Holdemanella sp.	Hornefia sp.	Howardella sp.	Hoylesella pleuritidis	Hoylesella sp.	Incertae Sedis bacteroidetes	Incertae Sedis candidatus	Incertae Sedis gut	Incertae Sedis peptostreptococcus	Incertae Sedis phylum	Incertae Sedis prevotellaceae	Incertae Sedis rumen	Incertae Sedis sp.	Kingella sp.	Klebsiella sp.	Lachnoanaerobaculum sp.	Lachnospiraceae (f)	Lachnospiraceae NK4A136 group sp.	Lachnospiraceae UCG-010 sp.	Lactobacillales (o)	Lancefieldella sp.	Lautropia sp.	Lentimicrobium genomosp.	Lentimicrobium sp.	Leptotrichia leptotrichia	Leptotrichia sp.	Mediterraneibacter sp.	Megasphaera micronuciformis	Mitsuokella sp.	Monoglobus sp.	Mycoplasma sp.	NK4A214 group sp.	Negativibacillus sp.	Neisseria elongata	Neisseria sp.	Oribacterium sp.	Parabacteroides distasonis	Parabacteroides johnsonii	Parabacteroides sp.	Parvimonas sp.	Pelospora genomosp.	Peptostreptococcales-Tissierellales (o)	Peptostreptococcus sp.	Phascolarctobacterium sp.	Phocaeicola abscessus	Porphyromonas gingivalis	Porphyromonas sp.	Prevotella intermedia	Prevotella jejuni	Prevotella melaninogenica	Prevotella pallens	Prevotella sp.	Prevotellaceae (f)	Pseudoleptotrichia sp.	Rikenellaceae RC9 gut group eubacterium	Rikenellaceae RC9 gut group sp.	Romboutsia sp.	Roseburia sp.	Rothia mucilaginosa	Rothia sp.	Ruminococcaceae (f)	Ruminococcus sp.	Ruthenibacterium sp.	Schaalia sp.	Segatella salivae	Segatella sp.	Selenomonadaceae (f)	Selenomonas sp.	Senegalimassilia sp.	Slackia sp.	Solobacterium sp.	Stomatobaculum sp.	Streptococcus anginosus	Streptococcus gordonii	Streptococcus salivarius	Streptococcus sp.	Succinivibrio sp.	TM7x sp.	Tannerella forsythia	Tannerella sp.	Thomasclavelia sp.	Treponema denticola	Treponema lecithinolyticum	Treponema maltophilum	Treponema medium	Treponema socranskii	Treponema sp.	Tyzzerella sp.	UCG-002 rumen	UCG-002 sp.	UCG-005 sp.	Veillonella sp.	Xylanibacter sp.	[Eubacterium] brachy group sp.	[Eubacterium] eligens group sp.	[Eubacterium] ruminantium group sp.	[Eubacterium] saphenum group saphenum	[Eubacterium] sulci group infirmum	[Eubacterium] sulci group sulci	[Eubacterium] ventriosum group sp.	[Eubacterium] xylanophilum group sp.	[Eubacterium] yurii group sp.	[Ruminococcus] gnavus group sp.
SRR23380923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	478.0	0.0	64.0	280.0	109.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	116.0	367.0	0.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	1268.0	49.0	483.0	0.0	804.0	436.0	1906.0	1235.0	0.0	943.0	0.0	979.0	0.0	0.0	204.0	0.0	96.0	0.0	0.0	137.0	0.0	0.0	133.0	0.0	0.0	184.0	204.0	0.0	88.0	0.0	0.0	0.0	0.0	298.0	0.0	100.0	0.0	153.0	179.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	560.0	217.0	0.0	0.0	0.0	1100.0	0.0	170.0	127.0	0.0	42.0	2123.0	2120.0	503.0	805.0	1347.0	193.0	357.0	0.0	220.0	0.0	54.0	0.0	0.0	0.0	1733.0	0.0	0.0	0.0	149.0	247.0	50.0	74.0	0.0	0.0	0.0	245.0	82.0	427.0	0.0	891.0	4062.0	0.0	116.0	889.0	0.0	0.0	491.0	293.0	106.0	993.0	53.0	239.0	0.0	0.0	0.0	0.0	2013.0	89.0	263.0	0.0	0.0	432.0	0.0	30.0	0.0	0.0	0.0	0.0
SRR23380925	49.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	39.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	638.0	64.0	56.0	228.0	499.0	52.0	0.0	312.0	51.0	0.0	0.0	0.0	0.0	0.0	79.0	51.0	409.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	1150.0	0.0	508.0	0.0	1023.0	349.0	3817.0	1268.0	0.0	276.0	46.0	162.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	17.0	0.0	0.0	966.0	41.0	0.0	112.0	41.0	0.0	0.0	52.0	98.0	128.0	0.0	0.0	0.0	196.0	0.0	60.0	0.0	0.0	65.0	0.0	0.0	23.0	495.0	279.0	0.0	0.0	0.0	653.0	0.0	114.0	468.0	0.0	52.0	395.0	1260.0	0.0	0.0	173.0	394.0	35.0	0.0	161.0	0.0	40.0	0.0	0.0	32.0	569.0	0.0	0.0	0.0	61.0	65.0	0.0	0.0	76.0	0.0	0.0	291.0	40.0	493.0	164.0	360.0	3776.0	0.0	518.0	678.0	159.0	0.0	848.0	0.0	79.0	0.0	179.0	75.0	0.0	0.0	0.0	0.0	1275.0	0.0	183.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	73.0	0.0
SRR23380926	287.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	44.0	67.0	52.0	55.0	131.0	82.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	21.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	861.0	208.0	1630.0	0.0	1395.0	68.0	1037.0	0.0	0.0	0.0	0.0	0.0	255.0	213.0	0.0	0.0	0.0	134.0	284.0	0.0	679.0	0.0	0.0	227.0	0.0	0.0	0.0	482.0	91.0	50.0	0.0	0.0	0.0	68.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	254.0	6150.0	212.0	0.0	0.0	0.0	329.0	0.0	4.0	30.0	0.0	5.0	0.0	3915.0	0.0	249.0	864.0	325.0	59.0	0.0	138.0	0.0	0.0	0.0	0.0	338.0	908.0	0.0	0.0	0.0	0.0	137.0	38.0	0.0	0.0	0.0	0.0	386.0	175.0	14.0	58.0	437.0	6313.0	0.0	153.0	15.0	41.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	18.0	0.0
SRR23380927	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1276.0	0.0	105.0	0.0	168.0	74.0	0.0	179.0	51.0	0.0	0.0	0.0	0.0	0.0	443.0	82.0	544.0	0.0	0.0	0.0	0.0	0.0	282.0	0.0	0.0	0.0	0.0	2417.0	59.0	767.0	0.0	1188.0	108.0	3914.0	826.0	0.0	179.0	0.0	444.0	0.0	0.0	165.0	0.0	0.0	6.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	540.0	50.0	7.0	29.0	91.0	0.0	0.0	39.0	0.0	139.0	70.0	424.0	195.0	64.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	61.0	1509.0	52.0	0.0	0.0	0.0	325.0	324.0	298.0	733.0	0.0	0.0	3087.0	2813.0	0.0	0.0	0.0	0.0	248.0	492.0	0.0	298.0	76.0	0.0	0.0	0.0	1146.0	0.0	0.0	0.0	0.0	0.0	323.0	142.0	163.0	0.0	0.0	85.0	0.0	290.0	172.0	152.0	3085.0	0.0	0.0	1149.0	0.0	0.0	1364.0	58.0	0.0	370.0	253.0	65.0	0.0	0.0	0.0	0.0	266.0	31.0	14.0	0.0	0.0	337.0	288.0	0.0	0.0	0.0	110.0	0.0
SRR23380956	0.0	0.0	0.0	1237.0	0.0	0.0	12.0	76.0	0.0	0.0	0.0	0.0	3431.0	0.0	428.0	0.0	0.0	0.0	6622.0	17.0	598.0	631.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1640.0	0.0	0.0	235.0	4436.0	2973.0	946.0	1713.0	0.0	0.0	0.0	455.0	1487.0	35.0	15.0	55.0	0.0	4451.0	26.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	8.0	536.0	5.0	0.0	0.0	0.0	2419.0	0.0	419.0	0.0	0.0	0.0	5.0	0.0	0.0	11.0	0.0	152.0	21435.0	0.0	0.0	0.0	2351.0	449.0	161.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	1678.0	0.0	1367.0	91.0	0.0	1412.0	0.0	0.0	0.0	5.0	504.0	131.0	0.0	2.0	0.0	0.0	0.0	5513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.0	1335.0	0.0	0.0	474.0	0.0	92.0	0.0	0.0	5308.0	0.0	0.0	0.0	234.0	22.0	0.0	0.0	0.0	19.0	69.0	6789.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1230.0	5445.0	1021.0	0.0	0.0	0.0	78.0	4466.0	0.0	0.0	13.0	47.0	47.0	0.0	0.0
SRR23380958	0.0	0.0	0.0	12050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	72.0	0.0	0.0	0.0	1851.0	0.0	21.0	8137.0	0.0	8337.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5467.0	9248.0	0.0	0.0	3.0	1439.0	3667.0	1697.0	18422.0	0.0	0.0	46793.0	29.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	109.0	4641.0	195.0	0.0	0.0	0.0	0.0	0.0	1075.0	0.0	0.0	0.0	10.0	0.0	0.0	131.0	0.0	284.0	1690.0	0.0	0.0	0.0	149.0	1627.0	558.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	5758.0	0.0	0.0	2618.0	0.0	0.0	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2054.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3270.0	4849.0	0.0	5.0	8333.0	4851.0	13.0	79.0	0.0	0.0	0.0	0.0	2857.0	0.0	76.0	0.0	23.0	0.0	2409.0	2459.0	0.0	26.0	0.0	0.0	1382.0	0.0	0.0	0.0	0.0	0.0	0.0	4119.0	0.0	685.0	0.0	132.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	2477.0	1065.0	0.0	0.0
SRR23380959	0.0	0.0	1023.0	4529.0	0.0	6.0	114.0	338.0	0.0	0.0	0.0	1081.0	5807.0	0.0	0.0	1163.0	0.0	16208.0	8621.0	2381.0	4376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	11483.0	0.0	1540.0	4023.0	0.0	0.0	26236.0	1963.0	985.0	68.0	3036.0	4459.0	0.0	11135.0	62.0	173.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	0.0	12.0	21640.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	960.0	0.0	0.0	0.0	218.0	21826.0	0.0	0.0	0.0	1095.0	1465.0	267.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	725.0	0.0	0.0	251.0	0.0	283.0	0.0	0.0	0.0	0.0	0.0	0.0	290.0	4.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	278.0	495.0	0.0	8.0	4935.0	22.0	528.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	38.0	47.0	313.0	221.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2995.0	379.0	52.0	0.0	0.0	1046.0	705.0	0.0	0.0	25.0	1398.0	0.0	0.0	0.0
SRR23380960	31.0	0.0	0.0	7972.0	0.0	57939.0	14.0	0.0	0.0	0.0	175.0	7.0	80.0	0.0	0.0	0.0	0.0	4461.0	1474.0	820.0	1418.0	0.0	641.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39466.0	0.0	0.0	0.0	0.0	0.0	2469.0	912.0	0.0	0.0	0.0	12324.0	5980.0	1331.0	218.0	7306.0	0.0	253.0	1190.0	240.0	882.0	0.0	0.0	0.0	421.0	0.0	0.0	0.0	428.0	2978.0	122.0	0.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	45.0	0.0	0.0	0.0	4823.0	0.0	767.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4848.0	0.0	0.0	612.0	0.0	0.0	1168.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	268.0	0.0	8.0	4062.0	0.0	445.0	0.0	0.0	0.0	0.0	0.0	0.0	665.0	39.0	0.0	75.0	0.0	10127.0	1053.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	12404.0
SRR23380961	0.0	0.0	115.0	2681.0	0.0	0.0	770.0	48.0	0.0	0.0	1846.0	0.0	1360.0	1278.0	780.0	227.0	0.0	112.0	186.0	150.0	28.0	0.0	2227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	297.0	672.0	0.0	0.0	0.0	362.0	55.0	28.0	45.0	0.0	0.0	5526.0	0.0	47.0	263.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	19.0	484.0	25.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	3801.0	0.0	935.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1085.0	0.0	0.0	157.0	0.0	202.0	410.0	0.0	0.0	0.0	245.0	818.0	224.0	0.0	0.0	0.0	0.0	890.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	46.0	0.0	0.0	486.0	12.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	404.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1045.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	561.0	0.0	0.0	875.0
SRR23381000	35.0	2016.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1147.0	0.0	0.0	0.0	11.0	0.0	0.0	563.0	32.0	0.0	0.0	0.0	0.0	0.0	410.0	137.0	290.0	0.0	0.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	0.0	2459.0	40.0	593.0	0.0	139.0	60.0	5538.0	658.0	0.0	362.0	96.0	411.0	0.0	0.0	162.0	0.0	292.0	0.0	0.0	59.0	0.0	581.0	64.0	0.0	0.0	2491.0	13.0	0.0	0.0	61.0	0.0	0.0	110.0	0.0	24.0	49.0	13.0	140.0	49.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	337.0	27.0	0.0	0.0	0.0	615.0	0.0	324.0	230.0	0.0	143.0	5842.0	2449.0	0.0	0.0	343.0	27.0	139.0	325.0	0.0	0.0	118.0	0.0	0.0	0.0	403.0	0.0	0.0	0.0	0.0	17.0	26.0	83.0	0.0	0.0	0.0	70.0	0.0	152.0	156.0	296.0	6032.0	0.0	0.0	807.0	0.0	0.0	908.0	87.0	0.0	318.0	163.0	1021.0	0.0	0.0	0.0	0.0	1115.0	2061.0	64.0	0.0	0.0	284.0	17.0	0.0	0.0	0.0	32.0	0.0
