sample_id	observed_features	shannon	simpson	sample_name	group	subject
SRR23380923	124	4.300180395899427	0.9806410628333548	Subject_5_Saliva	saliva	5
SRR23380925	132	4.2803090784212445	0.9734058238343414	Subject_4_Saliva	saliva	4
SRR23380926	111	3.7937252552924896	0.9525322963520434	Subject_3_Saliva	saliva	3
SRR23380927	126	4.027231733604027	0.967196580176238	Subject_1_Saliva	saliva	1
SRR23380956	105	3.8227383923830254	0.9667333119507827	Subject_8_Feces	feces	8
SRR23380958	83	3.5530273726896793	0.9603599798779929	Subject_5_Feces	feces	5
SRR23380959	100	3.4306308491094994	0.9418537505718645	Subject_4_Feces	feces	4
SRR23380960	80	2.7414800143371467	0.8695381181230757	Subject_3_Feces	feces	3
SRR23380961	84	3.8459598938703055	0.9684472044050068	Subject_1_Feces	feces	1
SRR23381000	131	3.80748370194381	0.9540689400722342	Subject_8_Saliva	saliva	8
