sample_id	faith_pd	sample_name	group	subject
SRR23380923	16.92408541755104	Subject_5_Saliva	saliva	5
SRR23380925	18.62877356066189	Subject_4_Saliva	saliva	4
SRR23380926	15.2897113408386	Subject_3_Saliva	saliva	3
SRR23380927	22.43165024458053	Subject_1_Saliva	saliva	1
SRR23380956	22.87328719349028	Subject_8_Feces	feces	8
SRR23380958	19.19964963481213	Subject_5_Feces	feces	5
SRR23380959	17.8027861812484	Subject_4_Feces	feces	4
SRR23380960	14.18697348261286	Subject_3_Feces	feces	3
SRR23380961	15.09207859908835	Subject_1_Feces	feces	1
SRR23381000	29.16078635496197	Subject_8_Saliva	saliva	8
