metric	value
samples	10.0
faith_pd_median	18.215779870955146
faith_pd_kruskal_statistic	0.5345454545454515
faith_pd_kruskal_p_value	0.4647020999404661
faith_pd_kruskal_groups	2.0
faith_pd_kruskal_samples	10.0
unweighted_unifrac_samples	10.0
unweighted_unifrac_permanova_pseudo_f	9.50606124143501
unweighted_unifrac_permanova_p_value	0.008
unweighted_unifrac_permdisp_f_value	6.004773213880431
unweighted_unifrac_permdisp_p_value	0.008
unweighted_unifrac_permanova_permutations	999.0
weighted_unifrac_samples	10.0
weighted_unifrac_permanova_pseudo_f	17.170304219230996
weighted_unifrac_permanova_p_value	0.008
weighted_unifrac_permdisp_f_value	5.82013981556742
weighted_unifrac_permdisp_p_value	0.027
weighted_unifrac_permanova_permutations	999.0
