sample_id	pielou_evenness	sample_name	group	subject
SRR23380923	0.8569518706469134	Subject_5_Saliva	saliva	5
SRR23380925	0.8558667923536668	Subject_4_Saliva	saliva	4
SRR23380926	0.7809551844687731	Subject_3_Saliva	saliva	3
SRR23380927	0.8113119174198344	Subject_1_Saliva	saliva	1
SRR23380956	0.7416597486596967	Subject_8_Feces	feces	8
SRR23380958	0.7215199980220347	Subject_5_Feces	feces	5
SRR23380959	0.6676568306582455	Subject_4_Feces	feces	4
SRR23380960	0.5744861544553558	Subject_3_Feces	feces	3
SRR23380961	0.7949725752183623	Subject_1_Feces	feces	1
SRR23381000	0.7725509021642986	Subject_8_Saliva	saliva	8
