sample_id	PC1	PC2	variance_explained_pc1	variance_explained_pc2	sample_name	group	subject
SRR23380923	-0.26795913378093283	-0.010819604885066777	0.7053141161640691	0.09857977839986738	Subject_5_Saliva	saliva	5
SRR23380925	-0.2504599170746704	0.019433617209930747	0.7053141161640691	0.09857977839986738	Subject_4_Saliva	saliva	4
SRR23380926	-0.21251678846593364	0.018658698568207507	0.7053141161640691	0.09857977839986738	Subject_3_Saliva	saliva	3
SRR23380927	-0.2896892377156259	0.002055648660133937	0.7053141161640691	0.09857977839986738	Subject_1_Saliva	saliva	1
SRR23380956	0.22419836622882292	-0.14438045426413929	0.7053141161640691	0.09857977839986738	Subject_8_Feces	feces	8
SRR23380958	0.35804933157543495	0.050786623608372536	0.7053141161640691	0.09857977839986738	Subject_5_Feces	feces	5
SRR23380959	0.3029240798811273	-0.11217903469000956	0.7053141161640691	0.09857977839986738	Subject_4_Feces	feces	4
SRR23380960	0.2764026160914388	0.24871601555898462	0.7053141161640691	0.09857977839986738	Subject_3_Feces	feces	3
SRR23380961	0.18018702295155517	-0.07432004145062505	0.7053141161640691	0.09857977839986738	Subject_1_Feces	feces	1
SRR23381000	-0.32113633969121597	0.0020485316842111874	0.7053141161640691	0.09857977839986738	Subject_8_Saliva	saliva	8
